sample,along_scan,along_track,scan_angle,pix_area
482,0.509099,0.661615,51.7737,0.336827535
483,0.508718,0.661418,51.7648,0.336475242
484,0.508336,0.66122,51.7559,0.33612193
485,0.507956,0.661023,51.747,0.335770599
486,0.507576,0.660826,51.7381,0.335419418
487,0.507196,0.66063,51.7292,0.335068893
488,0.506818,0.660433,51.7203,0.334719332
489,0.506439,0.660237,51.7114,0.334369766
490,0.506062,0.660041,51.7025,0.334021669
491,0.505684,0.659845,51.6937,0.333673059
492,0.505307,0.659649,51.6848,0.333325257
493,0.504931,0.659453,51.6759,0.332978263
494,0.504556,0.659258,51.667,0.332632579
495,0.504181,0.659063,51.6581,0.332287042
496,0.503806,0.658868,51.6492,0.331941652
497,0.503432,0.658673,51.6403,0.331597066
498,0.503059,0.658478,51.6314,0.331253284
499,0.502686,0.658283,51.6225,0.330909648
500,0.502314,0.658089,51.6136,0.330567318
501,0.501942,0.657894,51.6047,0.33022463
502,0.501571,0.6577,51.5958,0.329883247
503,0.5012,0.657506,51.5869,0.329542007
504,0.50083,0.657313,51.578,0.32920207
505,0.50046,0.657119,51.5692,0.328861775
506,0.500091,0.656926,51.5603,0.32852278
507,0.499723,0.656732,51.5514,0.328184085
508,0.499355,0.656539,51.5425,0.327846032
509,0.498987,0.656346,51.5336,0.327508122
510,0.49862,0.656153,51.5247,0.327171009
511,0.498254,0.655961,51.5158,0.326835192
512,0.497888,0.655768,51.5069,0.326499018
513,0.497523,0.655576,51.498,0.326164138
514,0.497158,0.655384,51.4891,0.325829399
515,0.496794,0.655192,51.4802,0.325495454
516,0.49643,0.655,51.4713,0.32516165
517,0.496067,0.654808,51.4624,0.32482864
518,0.495704,0.654617,51.4536,0.324496265
519,0.495341,0.654425,51.4447,0.324163534
520,0.49498,0.654235,51.4358,0.32383324
521,0.494619,0.654044,51.4269,0.323502589
522,0.494258,0.653853,51.418,0.323172076
523,0.493898,0.653662,51.4091,0.322842354
524,0.493539,0.653472,51.4002,0.322513917
525,0.49318,0.653281,51.3913,0.322185124
526,0.492821,0.653091,51.3824,0.32185696
527,0.492463,0.652901,51.3735,0.321529585
528,0.492105,0.652711,51.3646,0.321202347
529,0.491748,0.652521,51.3557,0.320875897
530,0.491392,0.652332,51.3468,0.320550726
531,0.491036,0.652143,51.3379,0.32022569
532,0.49068,0.651953,51.3291,0.319900298
533,0.490325,0.651764,51.3202,0.319576183
534,0.489971,0.651576,51.3113,0.319253344
535,0.489617,0.651387,51.3024,0.318930149
536,0.489263,0.651198,51.2935,0.318607087
537,0.48891,0.65101,51.2846,0.318285299
538,0.488558,0.650822,51.2757,0.317964295
539,0.488206,0.650633,51.2668,0.317642934
540,0.487854,0.650445,51.2579,0.317322195
541,0.487503,0.650258,51.249,0.317002726
542,0.487153,0.65007,51.2401,0.316683551
543,0.486803,0.649883,51.2312,0.316364994
544,0.486454,0.649696,51.2223,0.316047218
545,0.486104,0.649508,51.2134,0.315728437
546,0.485756,0.649321,51.2046,0.315411572
547,0.485408,0.649134,51.1957,0.315094837
548,0.48506,0.648948,51.1868,0.314778717
549,0.484713,0.648761,51.1779,0.314462891
550,0.484367,0.648575,51.169,0.314148327
551,0.484021,0.648389,51.1601,0.313833892
552,0.483675,0.648203,51.1512,0.313519586
553,0.48333,0.648017,51.1423,0.313206057
554,0.482986,0.647831,51.1334,0.312893303
555,0.482641,0.647646,51.1245,0.312580513
556,0.482298,0.64746,51.1156,0.312268663
557,0.481954,0.647275,51.1067,0.311956775
558,0.481612,0.64709,51.0978,0.311646309
559,0.48127,0.646905,51.0889,0.311335969
560,0.480928,0.64672,51.0801,0.311025756
561,0.480587,0.646536,51.0712,0.310716797
562,0.480246,0.646351,51.0623,0.310407482
563,0.479906,0.646167,51.0534,0.31009942
564,0.479566,0.645983,51.0445,0.309791483
565,0.479227,0.645798,51.0356,0.309483838
566,0.478888,0.645615,51.0267,0.309177276
567,0.478549,0.645431,51.0178,0.30887036
568,0.478211,0.645247,51.0089,0.308564213
569,0.477874,0.645064,51,0.308259314
570,0.477537,0.644881,50.9911,0.307954538
571,0.4772,0.644698,50.9822,0.307649886
572,0.476864,0.644515,50.9733,0.307346001
573,0.476529,0.644332,50.9644,0.307042884
574,0.476193,0.644149,50.9556,0.306739245
575,0.475859,0.643967,50.9467,0.306437493
576,0.475525,0.643784,50.9378,0.306135387
577,0.475191,0.643602,50.9289,0.305833878
